feature,importance
total_sqft,0.11463137
bhk,0.10381429
"location_Riviera Springs, Shela Ahmedabad",0.037451424
location_other,0.034141593
location_Motera Ahmedabad,0.033598546
location_Gota Ahmedabad,0.030111367
price_sqft,0.029463928
location_Shilaj Ahmedabad,0.029062916
"location_Panache, Vaishnodevi Circle Ahmedabad",0.027600579
"location_Super Shaligram, Gota Ahmedabad",0.024611253
location_Naranpura Ahmedabad,0.023814455
"location_Sharanya Altura, Shilaj Ahmedabad",0.023643738
"location_South Bopal, Bopal Ahmedabad",0.021617303
"location_Kavisha The Portrait, Shela Ahmedabad",0.019518495
location_Vastrapur Ahmedabad,0.019243686
location_Shahibag Ahmedabad,0.019218093
"location_Vejalpur, Jivraj park Ahmedabad",0.019005736
"location_Riviera Aspire, Shela Ahmedabad",0.018759457
location_Ahmedabad,0.017565807
location_Tragad Ahmedabad,0.015217242
location_Maninagar Ahmedabad,0.013593802
location_Chandkheda Ahmedabad,0.01306329
location_Bapunagar Ahmedabad,0.013030634
"location_Godrej Green Glades, Jagatpur Ahmedabad",0.01275492
location_Ghatlodiya Ahmedabad,0.012592444
location_Chharodi Ahmedabad,0.01240446
"location_Adani Archway, Jagatpur Ahmedabad",0.011951381
"location_Riviera Prestige, Makarba Ahmedabad",0.0113262
floor_num,0.010595186
location_New CG Road Ahmedabad,0.010556187
location_Paldi Ahmedabad,0.010531323
"location_Highline, Gota Ahmedabad",0.010453873
"location_EMBRACE, Vaishnodevi Circle Ahmedabad",0.010238447
location_Sarkhej Gandhinagar Highway Ahmedabad,0.0098339105
"location_Orchid Sky, Shela Ahmedabad",0.009817475
location_Zundal Ahmedabad,0.009385989
"location_Shilp Residency, Gota Ahmedabad",0.0087391725
location_Koteshwar Ahmedabad,0.007842974
"location_Ideal Imbert, Chharodi Ahmedabad",0.007743413
"location_Samanvay Scintilla, South Bopal, Bopal Ahmedabad",0.0075771455
location_Vaishnodevi Circle Ahmedabad,0.007486496
"location_Tremont, Vaishnodevi Circle Ahmedabad",0.006560493
"location_Maninagar East, Maninagar Ahmedabad",0.006514777
"location_Turquoise Greenz, Shela Ahmedabad",0.006461854
location_Sardar Patel Ring Road Ahmedabad,0.005920648
"location_Kavisha Atria, Shela Ahmedabad",0.005612564
